egp_name,n_sas,soma_horas_sas,soma_loc,categoria_predominante,pipeline_family,n_sas_sem_dup,soma_horas_sas_sem_dup,soma_loc_sem_dup,categoria_egp,score_ponderado_egp,categoria_egp_sem_dup,score_ponderado_egp_sem_dup
01 - Atualiza Dim_Unde (versao PBI)_com pós,16,63.49,1221,Trivial,01 - Atualiza Dim_Unde (versao PBI)_com pós,15,62.59,1220,Médio,3.1,Médio,3.1
01_CR_por_UNIDADE,12,36.18,522,Trivial,01_CR_por_UNIDADE,12,36.18,522,Simples,2.5,Simples,2.5
01_PROJETO_SINAL_VITAL_CAPTACAO_252,11,36.9,15743,Simples,01_PROJETO_SINAL_VITAL_CAPTACAO_252,0,0.0,0,Complexo,3.6,Complexo,
01_PROJETO_SINAL_VITAL_CAPTACAO_252 (2),11,123.0,15743,Simples,01_PROJETO_SINAL_VITAL_CAPTACAO_252,11,123.0,15743,Complexo,3.6,Complexo,3.6
01_PROJETO_SINAL_VITAL_CAPTACAO_252 (3),11,50.56,15736,Simples,01_PROJETO_SINAL_VITAL_CAPTACAO_252,2,19.52,3438,Complexo,3.6,Médio,2.7
01_PROJETO_SINAL_VITAL_CAPTACAO_252_v120925,11,86.86,15586,Simples,01_PROJETO_SINAL_VITAL_CAPTACAO_252,6,75.08999999999999,8286,Complexo,3.6,Complexo,3.6
01_PROJETO_SINAL_VITAL_CAPTACAO_261,28,137.59,18767,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261,19,123.92,16582,Complexo,4.0,Complexo,3.45
01_PROJETO_SINAL_VITAL_CAPTACAO_261 (2),14,64.94,13434,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261,9,49.84,3294,Complexo,3.6,Médio,3.15
01_PROJETO_SINAL_VITAL_CAPTACAO_261 - desenvPart4,13,40.24,12284,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261 - desenvPart4,4,15.34,781,Complexo,3.6,Simples,2.1
01_PROJETO_SINAL_VITAL_CAPTACAO_261-antesAlteracaoBolsaEnem,23,88.12,5863,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261-antesAlteracaoBolsaEnem,19,79.67,4627,Complexo,3.75,Médio,3.3
01_PROJETO_SINAL_VITAL_CAPTACAO_261_acrescidas,28,105.94,15469,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261_acrescidas,15,86.99,12690,Complexo,3.9,Médio,3.35
01_PROJETO_SINAL_VITAL_CAPTACAO_261_bk20260312,22,87.39,14740,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261,9,68.67,12264,Complexo,3.75,Médio,3.2
01_PROJETO_SINAL_VITAL_CAPTACAO_261_bkpAntesBolsa,25,44.14,14981,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261_bkpAntesBolsa,1,3.01,5,Complexo,3.75,Trivial,1.2
01_PROJETO_SINAL_VITAL_CAPTACAO_261_bolsaLiq,25,68.25999999999999,8969,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261_bolsaLiq,5,41.169999999999995,4534,Complexo,3.85,Médio,2.95
01_PROJETO_SINAL_VITAL_CAPTACAO_261_zeraBolsas,25,68.42,15560,Trivial,01_PROJETO_SINAL_VITAL_CAPTACAO_261_zeraBolsas,8,41.89,9102,Complexo,3.75,Simples,2.45
01_REMAT_261,7,21.07,57,Trivial,01_REMAT_261,7,21.07,57,Trivial,1.5,Trivial,1.5
02 - EXPORT_SERVIDOR_NOVO,1,2.76,55,Trivial,02 - EXPORT_SERVIDOR_NOVO,1,2.76,55,Trivial,1.15,Trivial,1.15
02 - EXPORT_SERVIDOR_NOVO_CAP,1,3.52,46,Trivial,02 - EXPORT_SERVIDOR_NOVO_CAP,1,3.52,46,Trivial,1.3,Trivial,1.3
02_ESTRUTURA_DADOS,11,45.94,847,Trivial,02_ESTRUTURA_DADOS,11,45.94,847,Médio,3.15,Médio,3.15
